1. MODALITA' RELEASE
Dimensione, InsertionSort, QuickSort
24:4.75591e-06,1.77141e-06
25:4.41421e-06,1.82645e-06
26:6.8874e-06,2.02354e-06
27:2.97071e-06,2.19015e-06
28:3.63236e-06,2.95458e-06
29:1.98063e-06,1.58626e-06
30:2.27011e-06,2.44372e-06
31:3.43391e-06,1.79779e-06
32:1.96313e-06,1.79068e-06
33:1.94552e-06,1.46072e-06
34:1.78717e-06,1.40828e-06
35:4.35001e-06,3.32196e-06
36:4.42242e-06,4.33438e-06
37:5.48317e-06,5.59504e-06
38:5.64838e-06,3.9272e-06
39:4.48805e-06,3.88604e-06
40:2.19749e-06,2.15962e-06
41:2.14041e-06,2.07298e-06
42:2.40914e-06,2.38602e-06
43:2.67138e-06,2.33486e-06
44:2.47824e-06,2.13106e-06
45:2.61686e-06,2.32502e-06
46:2.47779e-06,2.5427e-06
47:3.44297e-06,2.48096e-06
48:2.60886e-06,2.65522e-06
49:2.81037e-06,2.68607e-06
50:2.72574e-06,3.07525e-06
51:4.20141e-06,2.76913e-06
52:2.86024e-06,3.62297e-06
53:2.86868e-06,3.6759e-06
54:3.78029e-06,4.40583e-06
55:6.46571e-06,5.47278e-06
56:4.87865e-06,3.45883e-06
57:3.47522e-06,3.57735e-06
58:3.48385e-06,3.40635e-06
59:3.45371e-06,3.70516e-06
60:3.65235e-06,3.76524e-06
61:3.64055e-06,4.01667e-06
62:3.77676e-06,6.39615e-06
63:3.96627e-06,4.22683e-06
64:3.84371e-06,4.31792e-06
65:3.89572e-06,5.12486e-06
66:4.4794e-06,4.69415e-06
67:4.37681e-06,4.54534e-06
68:5.03962e-06,5.24913e-06
69:4.96098e-06,6.50979e-06
70:7.69185e-06,8.46395e-06
71:5.47476e-06,5.12852e-06
72:4.7644e-06,5.62246e-06
73:4.61268e-06,5.35397e-06
74:4.5942e-06,5.54782e-06
75:4.63768e-06,5.87235e-06
76:4.80819e-06,5.99456e-06
77:5.05159e-06,5.7914e-06
78:4.86101e-06,6.17521e-06
79:6.1471e-06,6.38194e-06
80:6.07798e-06,6.09864e-06
81:6.39264e-06,7.5384e-06
82:8.09757e-06,9.60715e-06
83:5.44005e-06,6.82209e-06
84:5.23704e-06,6.76775e-06
85:5.3973e-06,6.81335e-06
86:5.53272e-06,7.00488e-06
87:5.50014e-06,7.32329e-06
88:5.53703e-06,7.45945e-06
89:5.74196e-06,7.75624e-06
90:5.64289e-06,7.51936e-06
91:5.81363e-06,8.85539e-06
92:1.1115e-05,1.13114e-05
93:6.58679e-06,8.68787e-06
94:6.51297e-06,8.22688e-06
95:6.47117e-06,8.98215e-06
96:6.20376e-06,8.89496e-06
97:6.2868e-06,9.28589e-06
98:6.36204e-06,9.76208e-06
99:6.47276e-06,9.75809e-06
100:8.73216e-06,1.52855e-05
